date,ticker,price
2025-03-13,ETH-USD,1862.9696044921875
2025-03-14,ETH-USD,1909.467529296875
2025-03-15,ETH-USD,1937.3946533203125
2025-03-16,ETH-USD,1887.43505859375
2025-03-17,ETH-USD,1927.0029296875
2025-03-18,ETH-USD,1932.54345703125
2025-03-19,ETH-USD,2057.7490234375
2025-03-20,ETH-USD,1982.099853515625
2025-03-21,ETH-USD,1964.8475341796875
2025-03-22,ETH-USD,1980.037841796875
2025-03-23,ETH-USD,2005.2991943359375
2025-03-24,ETH-USD,2077.47900390625
2025-03-25,ETH-USD,2067.76416015625
2025-03-26,ETH-USD,2009.1893310546875
2025-03-27,ETH-USD,2002.357421875
2025-03-28,ETH-USD,1895.5029296875
2025-03-29,ETH-USD,1827.3203125
2025-03-30,ETH-USD,1806.2186279296875
2025-03-31,ETH-USD,1823.47998046875
2025-04-01,ETH-USD,1905.491455078125
2025-04-02,ETH-USD,1795.313232421875
2025-04-03,ETH-USD,1815.63720703125
2025-04-04,ETH-USD,1815.335205078125
2025-04-05,ETH-USD,1805.9732666015625
2025-04-06,ETH-USD,1576.72802734375
2025-04-07,ETH-USD,1575.869873046875
2025-03-09,SOL-USD,126.43543243408203
2025-03-10,SOL-USD,118.291748046875
2025-03-11,SOL-USD,125.26394653320312
2025-03-12,SOL-USD,126.58324432373047
2025-03-13,SOL-USD,123.28614807128906
2025-03-14,SOL-USD,133.31448364257812
2025-03-15,SOL-USD,135.91253662109375
2025-03-16,SOL-USD,125.98810577392578
2025-03-17,SOL-USD,128.16371154785156
2025-03-18,SOL-USD,125.31269836425781
2025-03-19,SOL-USD,135.572509765625
2025-03-20,SOL-USD,127.49718475341797
2025-03-21,SOL-USD,128.43031311035156
2025-03-22,SOL-USD,128.4849853515625
2025-03-23,SOL-USD,132.5993194580078
2025-03-24,SOL-USD,140.86927795410156
2025-03-25,SOL-USD,143.81707763671875
2025-03-26,SOL-USD,137.28857421875
2025-03-27,SOL-USD,138.34738159179688
2025-03-28,SOL-USD,129.42315673828125
2025-03-29,SOL-USD,124.587646484375
2025-03-30,SOL-USD,124.64263153076172
2025-03-31,SOL-USD,124.69412994384766
2025-04-01,SOL-USD,126.68238067626953
2025-04-02,SOL-USD,117.75762939453125
2025-04-03,SOL-USD,117.06145477294922
2025-04-04,SOL-USD,122.78688049316406
2025-04-05,SOL-USD,120.25899505615234
2025-04-06,SOL-USD,105.7120132446289
2025-04-07,SOL-USD,108.88912963867188
2025-03-09,XRP-USD,2.1345760822296143
2025-03-10,XRP-USD,2.018294095993042
2025-03-11,XRP-USD,2.1669158935546875
2025-03-12,XRP-USD,2.240755081176758
2025-03-13,XRP-USD,2.2510080337524414
2025-03-14,XRP-USD,2.356442928314209
2025-03-15,XRP-USD,2.393238067626953
2025-03-16,XRP-USD,2.2978670597076416
2025-03-17,XRP-USD,2.3406379222869873
2025-03-18,XRP-USD,2.2869598865509033
2025-03-19,XRP-USD,2.5458409786224365
2025-03-20,XRP-USD,2.434674024581909
2025-03-21,XRP-USD,2.3792779445648193
2025-03-22,XRP-USD,2.369823932647705
2025-03-23,XRP-USD,2.435492992401123
2025-03-24,XRP-USD,2.448162078857422
2025-03-25,XRP-USD,2.451349973678589
2025-03-26,XRP-USD,2.349087953567505
2025-03-27,XRP-USD,2.3382740020751953
2025-03-28,XRP-USD,2.204137086868286
2025-03-29,XRP-USD,2.139949083328247
2025-03-30,XRP-USD,2.1361429691314697
2025-03-31,XRP-USD,2.0898969173431396
2025-04-01,XRP-USD,2.139611005783081
2025-04-02,XRP-USD,2.025067090988159
2025-04-03,XRP-USD,2.062467098236084
2025-04-04,XRP-USD,2.128959894180298
2025-04-05,XRP-USD,2.143731117248535
2025-04-06,XRP-USD,1.917894959449768
2025-04-07,XRP-USD,1.9340609312057495
